,economy,time,EN.ATM.CO2E.PC
294,ARB,YR2002,3.39658511229219
295,ARB,YR2003,3.42482936214163
296,ARB,YR2004,3.53231909468646
297,ARB,YR2005,3.68772427908801
298,ARB,YR2006,3.78771089433464
299,ARB,YR2007,3.84041875041345
300,ARB,YR2008,4.0410630061134
301,ARB,YR2009,4.06896311884473
302,ARB,YR2010,4.20845277164622
303,ARB,YR2011,4.20948386437407
304,ARB,YR2012,4.40120853010497
305,ARB,YR2013,4.38623074399608
306,ARB,YR2014,4.43951077811138
307,ARB,YR2015,4.4505246086133
308,ARB,YR2016,4.40299930644354
309,ARB,YR2017,4.35068367804768
310,ARB,YR2018,4.22233304211785
311,ARB,YR2019,4.18115800303134
312,ARB,YR2020,3.92907774447049
313,ARB,YR2021,
314,ARB,YR2022,
315,ARE,YR1960,
316,ARE,YR1961,
317,ARE,YR1962,
318,ARE,YR1963,
319,ARE,YR1964,
320,ARE,YR1965,
321,ARE,YR1966,
322,ARE,YR1967,
323,ARE,YR1968,
324,ARE,YR1969,
325,ARE,YR1970,
326,ARE,YR1971,
327,ARE,YR1972,
328,ARE,YR1973,
329,ARE,YR1974,
330,ARE,YR1975,
331,ARE,YR1976,
332,ARE,YR1977,
333,ARE,YR1978,
334,ARE,YR1979,
335,ARE,YR1980,
336,ARE,YR1981,
337,ARE,YR1982,
338,ARE,YR1983,
339,ARE,YR1984,
340,ARE,YR1985,
341,ARE,YR1986,
342,ARE,YR1987,
343,ARE,YR1988,
344,ARE,YR1989,
345,ARE,YR1990,29.0557960919948
346,ARE,YR1991,30.653565579872
347,ARE,YR1992,28.2118539989254
348,ARE,YR1993,28.6154175534929
349,ARE,YR1994,30.3902407188591
350,ARE,YR1995,30.8821160991755
351,ARE,YR1996,30.5232758134825
352,ARE,YR1997,29.656726456501
353,ARE,YR1998,28.5675748768456
354,ARE,YR1999,27.6603897967531
355,ARE,YR2000,25.8688505871006
356,ARE,YR2001,28.1386591040815
357,ARE,YR2002,27.2855568291431
358,ARE,YR2003,27.2248726413375
359,ARE,YR2004,27.5477739305378
360,ARE,YR2005,27.2025438957737
361,ARE,YR2006,24.8139704924766
362,ARE,YR2007,22.4485000231583
363,ARE,YR2008,22.3281490008492
364,ARE,YR2009,19.6455390731778
365,ARE,YR2010,19.1927959384897
366,ARE,YR2011,19.4317803481083
367,ARE,YR2012,20.2756524576141
368,ARE,YR2013,21.1339160750868
369,ARE,YR2014,21.1227744472553
370,ARE,YR2015,21.9145018912965
371,ARE,YR2016,22.2807027101609
372,ARE,YR2017,21.1654979061116
373,ARE,YR2018,19.060949529489
374,ARE,YR2019,20.1533448325312
375,ARE,YR2020,20.2522716801426
376,ARE,YR2021,
377,ARE,YR2022,
378,ARG,YR1960,
379,ARG,YR1961,
380,ARG,YR1962,
381,ARG,YR1963,
382,ARG,YR1964,
383,ARG,YR1965,
384,ARG,YR1966,
385,ARG,YR1967,
386,ARG,YR1968,
387,ARG,YR1969,
388,ARG,YR1970,
389,ARG,YR1971,
390,ARG,YR1972,
391,ARG,YR1973,
392,ARG,YR1974,
393,ARG,YR1975,
394,ARG,YR1976,
395,ARG,YR1977,
396,ARG,YR1978,
397,ARG,YR1979,
398,ARG,YR1980,
399,ARG,YR1981,
400,ARG,YR1982,
401,ARG,YR1983,
402,ARG,YR1984,
403,ARG,YR1985,
404,ARG,YR1986,
405,ARG,YR1987,
406,ARG,YR1988,
407,ARG,YR1989,
408,ARG,YR1990,3.07356315436491
409,ARG,YR1991,3.1990381855872
410,ARG,YR1992,3.21497210834572
411,ARG,YR1993,3.24024222946087
412,ARG,YR1994,3.24482839246807
413,ARG,YR1995,3.23030803714634
414,ARG,YR1996,3.4627891850664
415,ARG,YR1997,3.52129780315044
416,ARG,YR1998,3.6615567575534
417,ARG,YR1999,3.66960102153625
418,ARG,YR2000,3.56791849018313
419,ARG,YR2001,3.34187706655833
420,ARG,YR2002,3.10048866797723
421,ARG,YR2003,3.33489087930132
422,ARG,YR2004,3.65608487008491
423,ARG,YR2005,3.73671686472615
424,ARG,YR2006,3.92426184145235
425,ARG,YR2007,4.08315143871477
426,ARG,YR2008,4.15237520977984
427,ARG,YR2009,3.84834822677955
428,ARG,YR2010,4.09984413971278
429,ARG,YR2011,4.28102814513
430,ARG,YR2012,4.26411100150765
431,ARG,YR2013,4.34225013023383
432,ARG,YR2014,4.20911189491323
433,ARG,YR2015,4.30191380564475
434,ARG,YR2016,4.20181586904703
435,ARG,YR2017,4.07011168693629
436,ARG,YR2018,3.97565074444479
437,ARG,YR2019,3.74202981162433
438,ARG,YR2020,3.4056175404138
439,ARG,YR2021,
440,ARG,YR2022,
441,ARM,YR1960,
442,ARM,YR1961,
443,ARM,YR1962,
444,ARM,YR1963,
445,ARM,YR1964,
446,ARM,YR1965,
447,ARM,YR1966,
448,ARM,YR1967,
449,ARM,YR1968,
450,ARM,YR1969,
451,ARM,YR1970,
452,ARM,YR1971,
453,ARM,YR1972,
454,ARM,YR1973,
455,ARM,YR1974,
456,ARM,YR1975,
457,ARM,YR1976,
458,ARM,YR1977,
459,ARM,YR1978,
460,ARM,YR1979,
461,ARM,YR1980,
462,ARM,YR1981,
463,ARM,YR1982,
464,ARM,YR1983,
465,ARM,YR1984,
466,ARM,YR1985,
467,ARM,YR1986,
468,ARM,YR1987,
469,ARM,YR1988,
470,ARM,YR1989,
471,ARM,YR1990,5.57991912924335
472,ARM,YR1991,5.71910180999665
473,ARM,YR1992,3.00903469103147
474,ARM,YR1993,1.43881627223633
475,ARM,YR1994,0.802637924447041
476,ARM,YR1995,1.03430197948586
477,ARM,YR1996,0.752345177086409
478,ARM,YR1997,1.01616485572923
479,ARM,YR1998,1.07774914752125
480,ARM,YR1999,0.967863681874468
481,ARM,YR2000,1.12386749283499
482,ARM,YR2001,1.14964797217354
483,ARM,YR2002,1.00440026962642
484,ARM,YR2003,1.133360699484
485,ARM,YR2004,1.22769506270091
486,ARM,YR2005,1.4639120044788
487,ARM,YR2006,1.48330439988819
488,ARM,YR2007,1.73226338897741
489,ARM,YR2008,1.90569819009788
490,ARM,YR2009,1.52171038249891
491,ARM,YR2010,1.47188348205694
492,ARM,YR2011,1.68560616406553
493,ARM,YR2012,1.96145306391904
494,ARM,YR2013,1.896163384039
495,ARM,YR2014,1.89589367216507
496,ARM,YR2015,1.85625278998956
497,ARM,YR2016,1.7679664042068
498,ARM,YR2017,1.88339587008485
499,ARM,YR2018,2.01377938113001
500,ARM,YR2019,2.1965523671897
501,ARM,YR2020,2.40468376195106
502,ARM,YR2021,
503,ARM,YR2022,
504,ATG,YR1960,
505,ATG,YR1961,
506,ATG,YR1962,
507,ATG,YR1963,
508,ATG,YR1964,
509,ATG,YR1965,
510,ATG,YR1966,
511,ATG,YR1967,
512,ATG,YR1968,
513,ATG,YR1969,
514,ATG,YR1970,
515,ATG,YR1971,
516,ATG,YR1972,
517,ATG,YR1973,
518,ATG,YR1974,
519,ATG,YR1975,
520,ATG,YR1976,
521,ATG,YR1977,
522,ATG,YR1978,
523,ATG,YR1979,
524,ATG,YR1980,
525,ATG,YR1981,
526,ATG,YR1982,
527,ATG,YR1983,
528,ATG,YR1984,
529,ATG,YR1985,
530,ATG,YR1986,
531,ATG,YR1987,
532,ATG,YR1988,
533,ATG,YR1989,
534,ATG,YR1990,3.4455533097524
535,ATG,YR1991,3.47927208724895
536,ATG,YR1992,3.37926661408311
537,ATG,YR1993,3.37211775070632
538,ATG,YR1994,3.3575858778626
539,ATG,YR1995,3.43869703792509
540,ATG,YR1996,3.65053439926645
541,ATG,YR1997,3.75747704232076
542,ATG,YR1998,3.94091385107204
543,ATG,YR1999,4.05440186396825
544,ATG,YR2000,4.16361335020985
545,ATG,YR2001,4.22357803581972
546,ATG,YR2002,4.34095472504696
547,ATG,YR2003,4.6199167467179
548,ATG,YR2004,4.65410876477369
549,ATG,YR2005,4.71647322490578
550,ATG,YR2006,4.9199579702083
551,ATG,YR2007,5.11119781506048
552,ATG,YR2008,5.14228057320633
553,ATG,YR2009,5.36588828163816
554,ATG,YR2010,5.43555633350837
555,ATG,YR2011,5.25890993785239
556,ATG,YR2012,5.35962771175035
557,ATG,YR2013,5.34368396668814
558,ATG,YR2014,5.34089380967323
559,ATG,YR2015,5.45023960151655
560,ATG,YR2016,5.5264785124332
561,ATG,YR2017,5.48842722154545
562,ATG,YR2018,5.5508261847074
563,ATG,YR2019,5.52558159731646
564,ATG,YR2020,5.12173012173012
565,ATG,YR2021,
566,ATG,YR2022,
567,AUS,YR1960,
568,AUS,YR1961,
569,AUS,YR1962,
570,AUS,YR1963,
571,AUS,YR1964,
572,AUS,YR1965,
573,AUS,YR1966,
574,AUS,YR1967,
575,AUS,YR1968,
576,AUS,YR1969,
577,AUS,YR1970,
578,AUS,YR1971,
579,AUS,YR1972,
580,AUS,YR1973,
581,AUS,YR1974,
582,AUS,YR1975,
583,AUS,YR1976,
584,AUS,YR1977,
585,AUS,YR1978,
586,AUS,YR1979,
587,AUS,YR1980,
588,AUS,YR1981,
