,economy,time,NYGDPMKTPKDZ
445,MKD,2021,4.5
446,MKD,2022,2.2
447,MKD,2023,1.8
448,MKD,2024,2.5
449,MKD,2025,2.9000001
450,MLI,2021,3.0999999
451,MLI,2022,3.7
452,MLI,2023,4.0
453,MLI,2024,4.0
454,MLI,2025,5.0
455,MMR,2021,-12.0
456,MMR,2022,4.0
457,MMR,2023,1.0
458,MMR,2024,2.0
459,MMR,2025,
460,MNE,2021,13.0
461,MNE,2022,6.4000001
462,MNE,2023,4.8000002
463,MNE,2024,3.2
464,MNE,2025,3.0999999
465,MNG,2021,1.6
466,MNG,2022,5.0
467,MNG,2023,5.8000002
468,MNG,2024,6.1999998
469,MNG,2025,6.4000001
470,MOZ,2021,2.3
471,MOZ,2022,4.1999998
472,MOZ,2023,6.0
473,MOZ,2024,5.0
474,MOZ,2025,5.0
475,MRT,2021,0.69999999
476,MRT,2022,6.4000001
477,MRT,2023,4.8000002
478,MRT,2024,5.0999999
479,MRT,2025,5.5
480,MUS,2021,3.4000001
481,MUS,2022,8.8000002
482,MUS,2023,5.0
483,MUS,2024,4.5999999
484,MUS,2025,3.5999999
485,MWI,2021,2.8
486,MWI,2022,0.89999998
487,MWI,2023,1.6
488,MWI,2024,2.8
489,MWI,2025,3.3
490,MYS,2021,3.3
491,MYS,2022,8.6999998
492,MYS,2023,3.9000001
493,MYS,2024,4.3000002
494,MYS,2025,4.1999998
495,NAM,2021,3.5
496,NAM,2022,4.5999999
497,NAM,2023,2.8
498,NAM,2024,2.9000001
499,NAM,2025,3.0999999
500,NER,2021,1.4
501,NER,2022,11.5
502,NER,2023,2.3
503,NER,2024,12.8
504,NER,2025,7.4000001
505,NGA,2021,3.5999999
506,NGA,2022,3.2
507,NGA,2023,2.9000001
508,NGA,2024,3.3
509,NGA,2025,3.7
510,NIC,2021,10.3
511,NIC,2022,3.8
512,NIC,2023,3.0999999
513,NIC,2024,3.2
514,NIC,2025,3.5
515,NPL,2021,4.8000002
516,NPL,2022,5.5999999
517,NPL,2023,1.9
518,NPL,2024,3.9000001
519,NPL,2025,5.0
520,NRU,2021,7.1999998
521,NRU,2022,2.8
522,NRU,2023,0.60000002
523,NRU,2024,1.4
524,NRU,2025,1.2
525,OMN,2021,3.0999999
526,OMN,2022,4.3000002
527,OMN,2023,1.4
528,OMN,2024,2.7
529,OMN,2025,2.9000001
530,PAK,2021,5.8000002
531,PAK,2022,6.1999998
532,PAK,2023,-0.2
533,PAK,2024,1.7
534,PAK,2025,2.4000001
535,PAN,2021,15.8
536,PAN,2022,10.8
537,PAN,2023,4.9000001
538,PAN,2024,4.5999999
539,PAN,2025,5.3000002
540,PER,2021,13.4
541,PER,2022,2.7
542,PER,2023,-0.40000001
543,PER,2024,2.5
544,PER,2025,2.3
545,PHL,2021,5.6999998
546,PHL,2022,7.5999999
547,PHL,2023,5.5999999
548,PHL,2024,5.8000002
549,PHL,2025,5.8000002
550,PLW,2021,-13.4
551,PLW,2022,-2.0
552,PLW,2023,0.80000001
553,PLW,2024,12.4
554,PLW,2025,11.9
555,PNG,2021,-0.80000001
556,PNG,2022,5.1999998
557,PNG,2023,3.0
558,PNG,2024,5.0
559,PNG,2025,3.0999999
560,POL,2021,6.9000001
561,POL,2022,5.0999999
562,POL,2023,0.5
563,POL,2024,2.5999999
564,POL,2025,3.4000001
565,PRY,2021,4.0
566,PRY,2022,0.1
567,PRY,2023,4.5999999
568,PRY,2024,3.8
569,PRY,2025,3.8
570,PSE,2021,7.0
571,PSE,2022,3.9000001
572,PSE,2023,-3.7
573,PSE,2024,-6.0
574,PSE,2025,5.4000001
575,QAT,2021,1.5
576,QAT,2022,4.9000001
577,QAT,2023,2.8
578,QAT,2024,2.5
579,QAT,2025,3.0999999
580,ROU,2021,5.6999998
581,ROU,2022,4.5999999
582,ROU,2023,1.8
583,ROU,2024,3.3
584,ROU,2025,3.8
585,RUS,2021,5.5999999
586,RUS,2022,-2.0999999
587,RUS,2023,2.5999999
588,RUS,2024,1.3
589,RUS,2025,0.89999998
590,RWA,2021,10.9
591,RWA,2022,8.1999998
592,RWA,2023,6.9000001
593,RWA,2024,7.5
594,RWA,2025,7.8000002
595,SAS,2021,8.3000002
596,SAS,2022,5.9000001
597,SAS,2023,5.6999998
598,SAS,2024,5.5999999
599,SAS,2025,5.9000001
600,SAU,2021,3.9000001
601,SAU,2022,8.6999998
602,SAU,2023,-0.5
603,SAU,2024,4.0999999
604,SAU,2025,4.1999998
605,SDN,2021,-1.9
606,SDN,2022,-1.0
607,SDN,2023,-12.0
608,SDN,2024,-0.60000002
609,SDN,2025,0.2
610,SEN,2021,6.5
611,SEN,2022,4.1999998
612,SEN,2023,4.0
613,SEN,2024,8.8000002
614,SEN,2025,9.3000002
615,SLB,2021,-0.60000002
616,SLB,2022,-4.0999999
617,SLB,2023,1.8
618,SLB,2024,2.7
619,SLB,2025,3.0999999
620,SLE,2021,4.0999999
621,SLE,2022,3.5
622,SLE,2023,3.0999999
623,SLE,2024,3.7
624,SLE,2025,4.3000002
625,SLV,2021,11.2
626,SLV,2022,2.5999999
627,SLV,2023,2.8
628,SLV,2024,2.3
629,SLV,2025,2.3
630,SRB,2021,7.6999998
631,SRB,2022,2.5
632,SRB,2023,2.0
633,SRB,2024,3.0
634,SRB,2025,3.8
635,SSD,2021,-5.0999999
636,SSD,2022,-2.3
637,SSD,2023,-0.40000001
638,SSD,2024,2.3
639,SSD,2025,2.4000001
640,SSF,2021,4.4000001
641,SSF,2022,3.7
642,SSF,2023,2.9000001
643,SSF,2024,3.8
644,SSF,2025,4.0999999
645,STP,2021,1.9
646,STP,2022,0.1
647,STP,2023,0.5
648,STP,2024,2.5
649,STP,2025,3.3
650,SUR,2021,-2.4000001
651,SUR,2022,2.4000001
652,SUR,2023,2.0
653,SUR,2024,2.5999999
654,SUR,2025,3.0
655,SWZ,2021,10.7
656,SWZ,2022,0.5
657,SWZ,2023,3.5999999
658,SWZ,2024,2.9000001
659,SWZ,2025,2.8
660,SYC,2021,5.4000001
661,SYC,2022,9.0
662,SYC,2023,4.3000002
663,SYC,2024,4.0999999
664,SYC,2025,3.9000001
665,SYR,2021,1.3
666,SYR,2022,-3.5
667,SYR,2023,-5.5
668,SYR,2024,
669,SYR,2025,
670,TCD,2021,-1.2
671,TCD,2022,2.2
672,TCD,2023,3.0
673,TCD,2024,2.8
674,TCD,2025,2.7
675,TGO,2021,6.0
676,TGO,2022,5.8000002
677,TGO,2023,5.1999998
678,TGO,2024,5.1999998
