,economy,time,EG.ELC.ACCS.ZS
313,ARB,YR2021,90.8456612947772
314,ARB,YR2022,
315,ARE,YR1960,
316,ARE,YR1961,
317,ARE,YR1962,
318,ARE,YR1963,
319,ARE,YR1964,
320,ARE,YR1965,
321,ARE,YR1966,
322,ARE,YR1967,
323,ARE,YR1968,
324,ARE,YR1969,
325,ARE,YR1970,
326,ARE,YR1971,
327,ARE,YR1972,
328,ARE,YR1973,
329,ARE,YR1974,
330,ARE,YR1975,
331,ARE,YR1976,
332,ARE,YR1977,
333,ARE,YR1978,
334,ARE,YR1979,
335,ARE,YR1980,
336,ARE,YR1981,
337,ARE,YR1982,
338,ARE,YR1983,
339,ARE,YR1984,
340,ARE,YR1985,
341,ARE,YR1986,
342,ARE,YR1987,
343,ARE,YR1988,
344,ARE,YR1989,
345,ARE,YR1990,100.0
346,ARE,YR1991,100.0
347,ARE,YR1992,100.0
348,ARE,YR1993,100.0
349,ARE,YR1994,100.0
350,ARE,YR1995,100.0
351,ARE,YR1996,100.0
352,ARE,YR1997,100.0
353,ARE,YR1998,100.0
354,ARE,YR1999,100.0
355,ARE,YR2000,100.0
356,ARE,YR2001,100.0
357,ARE,YR2002,100.0
358,ARE,YR2003,100.0
359,ARE,YR2004,100.0
360,ARE,YR2005,100.0
361,ARE,YR2006,100.0
362,ARE,YR2007,100.0
363,ARE,YR2008,100.0
364,ARE,YR2009,100.0
365,ARE,YR2010,100.0
366,ARE,YR2011,100.0
367,ARE,YR2012,100.0
368,ARE,YR2013,100.0
369,ARE,YR2014,100.0
370,ARE,YR2015,100.0
371,ARE,YR2016,100.0
372,ARE,YR2017,100.0
373,ARE,YR2018,100.0
374,ARE,YR2019,100.0
375,ARE,YR2020,100.0
376,ARE,YR2021,100.0
377,ARE,YR2022,
378,ARG,YR1960,
379,ARG,YR1961,
380,ARG,YR1962,
381,ARG,YR1963,
382,ARG,YR1964,
383,ARG,YR1965,
384,ARG,YR1966,
385,ARG,YR1967,
386,ARG,YR1968,
387,ARG,YR1969,
388,ARG,YR1970,
389,ARG,YR1971,
390,ARG,YR1972,
391,ARG,YR1973,
392,ARG,YR1974,
393,ARG,YR1975,
394,ARG,YR1976,
395,ARG,YR1977,
396,ARG,YR1978,
397,ARG,YR1979,
398,ARG,YR1980,
399,ARG,YR1981,
400,ARG,YR1982,
401,ARG,YR1983,
402,ARG,YR1984,
403,ARG,YR1985,
404,ARG,YR1986,
405,ARG,YR1987,
406,ARG,YR1988,
