,economy,time,CC.EST
274,ARB,YR1982,
275,ARB,YR1983,
276,ARB,YR1984,
277,ARB,YR1985,
278,ARB,YR1986,
279,ARB,YR1987,
280,ARB,YR1988,
281,ARB,YR1989,
282,ARB,YR1990,
283,ARB,YR1991,
284,ARB,YR1992,
285,ARB,YR1993,
286,ARB,YR1994,
287,ARB,YR1995,
288,ARB,YR1996,
289,ARB,YR1997,
290,ARB,YR1998,
291,ARB,YR1999,
292,ARB,YR2000,
293,ARB,YR2001,
294,ARB,YR2002,
295,ARB,YR2003,
296,ARB,YR2004,
297,ARB,YR2005,
298,ARB,YR2006,
299,ARB,YR2007,
300,ARB,YR2008,
301,ARB,YR2009,
302,ARB,YR2010,
303,ARB,YR2011,
304,ARB,YR2012,
305,ARB,YR2013,
306,ARB,YR2014,
307,ARB,YR2015,
308,ARB,YR2016,
309,ARB,YR2017,
310,ARB,YR2018,
311,ARB,YR2019,
312,ARB,YR2020,
313,ARB,YR2021,
314,ARB,YR2022,
315,ARE,YR1960,
316,ARE,YR1961,
317,ARE,YR1962,
318,ARE,YR1963,
319,ARE,YR1964,
320,ARE,YR1965,
321,ARE,YR1966,
322,ARE,YR1967,
323,ARE,YR1968,
324,ARE,YR1969,
325,ARE,YR1970,
326,ARE,YR1971,
327,ARE,YR1972,
328,ARE,YR1973,
329,ARE,YR1974,
330,ARE,YR1975,
331,ARE,YR1976,
332,ARE,YR1977,
333,ARE,YR1978,
334,ARE,YR1979,
335,ARE,YR1980,
336,ARE,YR1981,
337,ARE,YR1982,
338,ARE,YR1983,
339,ARE,YR1984,
340,ARE,YR1985,
341,ARE,YR1986,
342,ARE,YR1987,
343,ARE,YR1988,
344,ARE,YR1989,
345,ARE,YR1990,
346,ARE,YR1991,
347,ARE,YR1992,
348,ARE,YR1993,
349,ARE,YR1994,
350,ARE,YR1995,
351,ARE,YR1996,-0.00557905901223421
352,ARE,YR1997,
353,ARE,YR1998,0.033033475279808
354,ARE,YR1999,
355,ARE,YR2000,0.103345222771168
356,ARE,YR2001,
357,ARE,YR2002,1.11161923408508
358,ARE,YR2003,0.826036751270294
359,ARE,YR2004,1.03947734832764
360,ARE,YR2005,0.990808546543121
361,ARE,YR2006,0.885872542858124
362,ARE,YR2007,1.00609827041626
363,ARE,YR2008,1.07145047187805
364,ARE,YR2009,0.906304717063904
365,ARE,YR2010,0.890833914279938
366,ARE,YR2011,1.07048761844635
367,ARE,YR2012,1.15573620796204
368,ARE,YR2013,1.27358639240265
369,ARE,YR2014,1.19904685020447
370,ARE,YR2015,1.03483545780182
371,ARE,YR2016,1.13127934932709
372,ARE,YR2017,1.09514439105988
373,ARE,YR2018,1.11653625965118
374,ARE,YR2019,1.07211112976074
375,ARE,YR2020,1.08254373073578
376,ARE,YR2021,1.15014326572418
377,ARE,YR2022,1.15533649921417
378,ARG,YR1960,
379,ARG,YR1961,
380,ARG,YR1962,
381,ARG,YR1963,
382,ARG,YR1964,
383,ARG,YR1965,
384,ARG,YR1966,
385,ARG,YR1967,
386,ARG,YR1968,
387,ARG,YR1969,
388,ARG,YR1970,
389,ARG,YR1971,
390,ARG,YR1972,
391,ARG,YR1973,
392,ARG,YR1974,
393,ARG,YR1975,
394,ARG,YR1976,
395,ARG,YR1977,
396,ARG,YR1978,
397,ARG,YR1979,
398,ARG,YR1980,
399,ARG,YR1981,
400,ARG,YR1982,
401,ARG,YR1983,
402,ARG,YR1984,
403,ARG,YR1985,
404,ARG,YR1986,
405,ARG,YR1987,
406,ARG,YR1988,
407,ARG,YR1989,
408,ARG,YR1990,
409,ARG,YR1991,
410,ARG,YR1992,
411,ARG,YR1993,
412,ARG,YR1994,
413,ARG,YR1995,
414,ARG,YR1996,-0.101317152380943
415,ARG,YR1997,
416,ARG,YR1998,-0.20348159968853
417,ARG,YR1999,
418,ARG,YR2000,-0.172407656908035
419,ARG,YR2001,
420,ARG,YR2002,-0.417055726051331
421,ARG,YR2003,-0.479976803064346
422,ARG,YR2004,-0.414409548044205
423,ARG,YR2005,-0.377738356590271
424,ARG,YR2006,-0.33123853802681
425,ARG,YR2007,-0.372122079133987
426,ARG,YR2008,-0.434875011444092
427,ARG,YR2009,-0.445475101470947
428,ARG,YR2010,-0.355230033397675
429,ARG,YR2011,-0.364098519086838
430,ARG,YR2012,-0.445909202098846
431,ARG,YR2013,-0.434015780687332
432,ARG,YR2014,-0.549443066120148
433,ARG,YR2015,-0.580868721008301
434,ARG,YR2016,-0.298964887857437
435,ARG,YR2017,-0.308798342943192
436,ARG,YR2018,-0.098668172955513
437,ARG,YR2019,-0.106940247118473
438,ARG,YR2020,-0.16378065943718
439,ARG,YR2021,-0.422272920608521
440,ARG,YR2022,-0.447030484676361
441,ARM,YR1960,
442,ARM,YR1961,
443,ARM,YR1962,
444,ARM,YR1963,
445,ARM,YR1964,
446,ARM,YR1965,
447,ARM,YR1966,
448,ARM,YR1967,
449,ARM,YR1968,
450,ARM,YR1969,
451,ARM,YR1970,
452,ARM,YR1971,
453,ARM,YR1972,
454,ARM,YR1973,
455,ARM,YR1974,
456,ARM,YR1975,
457,ARM,YR1976,
458,ARM,YR1977,
459,ARM,YR1978,
460,ARM,YR1979,
461,ARM,YR1980,
462,ARM,YR1981,
463,ARM,YR1982,
464,ARM,YR1983,
465,ARM,YR1984,
466,ARM,YR1985,
467,ARM,YR1986,
468,ARM,YR1987,
469,ARM,YR1988,
470,ARM,YR1989,
471,ARM,YR1990,
472,ARM,YR1991,
473,ARM,YR1992,
474,ARM,YR1993,
475,ARM,YR1994,
476,ARM,YR1995,
477,ARM,YR1996,-0.473051309585571
478,ARM,YR1997,
479,ARM,YR1998,-0.936306059360504
480,ARM,YR1999,
481,ARM,YR2000,-0.84808623790741
482,ARM,YR2001,
483,ARM,YR2002,-0.77816516160965
484,ARM,YR2003,-0.649022400379181
485,ARM,YR2004,-0.703455328941345
486,ARM,YR2005,-0.683349847793579
487,ARM,YR2006,-0.669232606887817
488,ARM,YR2007,-0.745891690254211
489,ARM,YR2008,-0.712412357330322
490,ARM,YR2009,-0.621459662914276
491,ARM,YR2010,-0.695039570331573
492,ARM,YR2011,-0.664559423923492
493,ARM,YR2012,-0.588001489639282
494,ARM,YR2013,-0.530450224876404
495,ARM,YR2014,-0.565155386924744
496,ARM,YR2015,-0.609267175197601
497,ARM,YR2016,-0.659123718738556
498,ARM,YR2017,-0.636488139629364
499,ARM,YR2018,-0.408891350030899
500,ARM,YR2019,-0.226975172758102
501,ARM,YR2020,-0.00343869999051094
502,ARM,YR2021,0.048978328704834
503,ARM,YR2022,0.0280352365225554
504,ATG,YR1960,
505,ATG,YR1961,
506,ATG,YR1962,
507,ATG,YR1963,
508,ATG,YR1964,
509,ATG,YR1965,
510,ATG,YR1966,
511,ATG,YR1967,
512,ATG,YR1968,
513,ATG,YR1969,
514,ATG,YR1970,
515,ATG,YR1971,
516,ATG,YR1972,
517,ATG,YR1973,
518,ATG,YR1974,
519,ATG,YR1975,
520,ATG,YR1976,
521,ATG,YR1977,
522,ATG,YR1978,
523,ATG,YR1979,
524,ATG,YR1980,
525,ATG,YR1981,
526,ATG,YR1982,
527,ATG,YR1983,
528,ATG,YR1984,
529,ATG,YR1985,
530,ATG,YR1986,
531,ATG,YR1987,
532,ATG,YR1988,
533,ATG,YR1989,
534,ATG,YR1990,
535,ATG,YR1991,
536,ATG,YR1992,
537,ATG,YR1993,
538,ATG,YR1994,
539,ATG,YR1995,
540,ATG,YR1996,0.869897186756134
541,ATG,YR1997,
542,ATG,YR1998,0.883366405963898
543,ATG,YR1999,
544,ATG,YR2000,0.861537575721741
545,ATG,YR2001,
546,ATG,YR2002,0.85021036863327
547,ATG,YR2003,0.854120075702667
548,ATG,YR2004,0.839856028556824
549,ATG,YR2005,0.742446184158325
550,ATG,YR2006,1.11961627006531
551,ATG,YR2007,1.14696705341339
552,ATG,YR2008,1.27677536010742
553,ATG,YR2009,1.3177649974823
554,ATG,YR2010,1.30177271366119
555,ATG,YR2011,1.27229809761047
556,ATG,YR2012,1.26053082942963
557,ATG,YR2013,1.25354850292206
558,ATG,YR2014,0.634897768497467
559,ATG,YR2015,0.642890870571136
560,ATG,YR2016,0.645558714866638
561,ATG,YR2017,0.197805091738701
562,ATG,YR2018,0.236239701509476
563,ATG,YR2019,0.239498108625412
564,ATG,YR2020,0.238533273339272
565,ATG,YR2021,0.231979250907898
566,ATG,YR2022,0.310604453086853
567,AUS,YR1960,
568,AUS,YR1961,
569,AUS,YR1962,
570,AUS,YR1963,
571,AUS,YR1964,
572,AUS,YR1965,
573,AUS,YR1966,
574,AUS,YR1967,
575,AUS,YR1968,
576,AUS,YR1969,
577,AUS,YR1970,
578,AUS,YR1971,
579,AUS,YR1972,
580,AUS,YR1973,
581,AUS,YR1974,
582,AUS,YR1975,
583,AUS,YR1976,
584,AUS,YR1977,
585,AUS,YR1978,
586,AUS,YR1979,
587,AUS,YR1980,
588,AUS,YR1981,
589,AUS,YR1982,
590,AUS,YR1983,
591,AUS,YR1984,
592,AUS,YR1985,
593,AUS,YR1986,
594,AUS,YR1987,
595,AUS,YR1988,
596,AUS,YR1989,
597,AUS,YR1990,
598,AUS,YR1991,
599,AUS,YR1992,
600,AUS,YR1993,
601,AUS,YR1994,
602,AUS,YR1995,
603,AUS,YR1996,1.8773558139801
604,AUS,YR1997,
605,AUS,YR1998,1.79812967777252
606,AUS,YR1999,
607,AUS,YR2000,1.86208832263947
608,AUS,YR2001,
609,AUS,YR2002,1.76143634319305
610,AUS,YR2003,1.89528703689575
611,AUS,YR2004,2.00586891174316
612,AUS,YR2005,1.94266772270203
613,AUS,YR2006,1.95081317424774
614,AUS,YR2007,2.00087285041809
615,AUS,YR2008,2.0273425579071
616,AUS,YR2009,2.04176306724548
617,AUS,YR2010,2.02361083030701
618,AUS,YR2011,2.03790903091431
619,AUS,YR2012,1.97750723361969
620,AUS,YR2013,1.77787029743195
