,economy,time,ID.OWN.BRTH.ZS
492,CMR,YR2018,48.9
493,CMR,YR2019,
494,CMR,YR2020,
495,CMR,YR2021,
496,COD,YR2006,
497,COD,YR2007,
498,COD,YR2008,
499,COD,YR2009,
500,COD,YR2010,
501,COD,YR2011,
502,COD,YR2012,
503,COD,YR2013,
504,COD,YR2014,
505,COD,YR2015,
506,COD,YR2016,
507,COD,YR2017,
508,COD,YR2018,35.4
509,COD,YR2019,
510,COD,YR2020,
511,COD,YR2021,
512,COG,YR2006,
513,COG,YR2007,
514,COG,YR2008,
515,COG,YR2009,
516,COG,YR2010,
517,COG,YR2011,
518,COG,YR2012,
519,COG,YR2013,
520,COG,YR2014,
521,COG,YR2015,87.2
522,COG,YR2016,
523,COG,YR2017,
524,COG,YR2018,
525,COG,YR2019,
526,COG,YR2020,
527,COG,YR2021,
528,COL,YR2006,
529,COL,YR2007,
530,COL,YR2008,
531,COL,YR2009,
532,COL,YR2010,
533,COL,YR2011,
534,COL,YR2012,
535,COL,YR2013,
536,COL,YR2014,
537,COL,YR2015,
538,COL,YR2016,
539,COL,YR2017,
540,COL,YR2018,
541,COL,YR2019,
542,COL,YR2020,
543,COL,YR2021,
544,COM,YR2006,
545,COM,YR2007,
546,COM,YR2008,
547,COM,YR2009,
548,COM,YR2010,
549,COM,YR2011,
550,COM,YR2012,76.4
551,COM,YR2013,
552,COM,YR2014,
553,COM,YR2015,
554,COM,YR2016,
555,COM,YR2017,
556,COM,YR2018,
557,COM,YR2019,
558,COM,YR2020,
559,COM,YR2021,
560,CRI,YR2006,
561,CRI,YR2007,
562,CRI,YR2008,
563,CRI,YR2009,
564,CRI,YR2010,
565,CRI,YR2011,
566,CRI,YR2012,
567,CRI,YR2013,
568,CRI,YR2014,
569,CRI,YR2015,
570,CRI,YR2016,
571,CRI,YR2017,
572,CRI,YR2018,
573,CRI,YR2019,
574,CRI,YR2020,
575,CRI,YR2021,
576,CUB,YR2006,
577,CUB,YR2007,
578,CUB,YR2008,
579,CUB,YR2009,
580,CUB,YR2010,
581,CUB,YR2011,
582,CUB,YR2012,
583,CUB,YR2013,
584,CUB,YR2014,
585,CUB,YR2015,
586,CUB,YR2016,
587,CUB,YR2017,
588,CUB,YR2018,
589,CUB,YR2019,99.5
590,CUB,YR2020,
591,CUB,YR2021,
592,CYP,YR2006,
593,CYP,YR2007,
594,CYP,YR2008,
595,CYP,YR2009,
596,CYP,YR2010,
597,CYP,YR2011,
598,CYP,YR2012,
599,CYP,YR2013,
600,CYP,YR2014,
601,CYP,YR2015,
602,CYP,YR2016,
603,CYP,YR2017,
604,CYP,YR2018,
605,CYP,YR2019,100.0
606,CYP,YR2020,
607,CYP,YR2021,
608,CZE,YR2006,
609,CZE,YR2007,
610,CZE,YR2008,
611,CZE,YR2009,
612,CZE,YR2010,
613,CZE,YR2011,
614,CZE,YR2012,
615,CZE,YR2013,
616,CZE,YR2014,
617,CZE,YR2015,
618,CZE,YR2016,
619,CZE,YR2017,
620,CZE,YR2018,
621,CZE,YR2019,
622,CZE,YR2020,100.0
623,CZE,YR2021,
624,DEU,YR2006,
625,DEU,YR2007,
626,DEU,YR2008,
627,DEU,YR2009,
628,DEU,YR2010,
629,DEU,YR2011,
630,DEU,YR2012,
631,DEU,YR2013,
632,DEU,YR2014,
633,DEU,YR2015,
634,DEU,YR2016,
635,DEU,YR2017,
636,DEU,YR2018,
637,DEU,YR2019,
638,DEU,YR2020,100.0
639,DEU,YR2021,
640,DJI,YR2006,89.5
641,DJI,YR2007,
642,DJI,YR2008,
643,DJI,YR2009,
644,DJI,YR2010,
645,DJI,YR2011,
646,DJI,YR2012,
647,DJI,YR2013,
648,DJI,YR2014,
649,DJI,YR2015,
650,DJI,YR2016,
651,DJI,YR2017,
652,DJI,YR2018,
653,DJI,YR2019,
654,DJI,YR2020,
655,DJI,YR2021,
656,DNK,YR2006,
657,DNK,YR2007,
658,DNK,YR2008,
659,DNK,YR2009,
660,DNK,YR2010,
661,DNK,YR2011,
662,DNK,YR2012,
663,DNK,YR2013,
664,DNK,YR2014,
665,DNK,YR2015,
666,DNK,YR2016,
667,DNK,YR2017,
668,DNK,YR2018,
669,DNK,YR2019,
670,DNK,YR2020,
671,DNK,YR2021,
672,DOM,YR2006,
673,DOM,YR2007,
674,DOM,YR2008,
675,DOM,YR2009,
676,DOM,YR2010,
677,DOM,YR2011,
678,DOM,YR2012,
679,DOM,YR2013,
680,DOM,YR2014,
681,DOM,YR2015,
682,DOM,YR2016,
683,DOM,YR2017,
684,DOM,YR2018,
685,DOM,YR2019,88.5
686,DOM,YR2020,
687,DOM,YR2021,
688,DZA,YR2006,
689,DZA,YR2007,
690,DZA,YR2008,
691,DZA,YR2009,
692,DZA,YR2010,
693,DZA,YR2011,
694,DZA,YR2012,
695,DZA,YR2013,
696,DZA,YR2014,
697,DZA,YR2015,
698,DZA,YR2016,
699,DZA,YR2017,
700,DZA,YR2018,
701,DZA,YR2019,98.8
702,DZA,YR2020,
703,DZA,YR2021,
704,ECU,YR2006,
705,ECU,YR2007,
706,ECU,YR2008,
707,ECU,YR2009,
708,ECU,YR2010,
709,ECU,YR2011,
710,ECU,YR2012,
711,ECU,YR2013,
712,ECU,YR2014,
713,ECU,YR2015,
714,ECU,YR2016,
715,ECU,YR2017,
716,ECU,YR2018,
717,ECU,YR2019,
718,ECU,YR2020,
719,ECU,YR2021,
720,EGY,YR2006,
721,EGY,YR2007,
722,EGY,YR2008,
723,EGY,YR2009,
724,EGY,YR2010,
725,EGY,YR2011,
726,EGY,YR2012,
727,EGY,YR2013,
728,EGY,YR2014,99.1
729,EGY,YR2015,
730,EGY,YR2016,
731,EGY,YR2017,
732,EGY,YR2018,
733,EGY,YR2019,
734,EGY,YR2020,
735,EGY,YR2021,
736,ESP,YR2006,
737,ESP,YR2007,
738,ESP,YR2008,
739,ESP,YR2009,
740,ESP,YR2010,
741,ESP,YR2011,
742,ESP,YR2012,
743,ESP,YR2013,
744,ESP,YR2014,
745,ESP,YR2015,
746,ESP,YR2016,
747,ESP,YR2017,
748,ESP,YR2018,
749,ESP,YR2019,
750,ESP,YR2020,100.0
751,ESP,YR2021,
752,EST,YR2006,
753,EST,YR2007,
754,EST,YR2008,
755,EST,YR2009,
756,EST,YR2010,
757,EST,YR2011,
758,EST,YR2012,
759,EST,YR2013,
760,EST,YR2014,
761,EST,YR2015,
762,EST,YR2016,
763,EST,YR2017,
764,EST,YR2018,
765,EST,YR2019,
766,EST,YR2020,100.0
767,EST,YR2021,
768,ETH,YR2006,
769,ETH,YR2007,
770,ETH,YR2008,
771,ETH,YR2009,
772,ETH,YR2010,
773,ETH,YR2011,
774,ETH,YR2012,
775,ETH,YR2013,
776,ETH,YR2014,
777,ETH,YR2015,
778,ETH,YR2016,1.6
779,ETH,YR2017,
780,ETH,YR2018,
781,ETH,YR2019,
782,ETH,YR2020,
783,ETH,YR2021,
784,FIN,YR2006,
785,FIN,YR2007,
786,FIN,YR2008,
787,FIN,YR2009,
788,FIN,YR2010,
789,FIN,YR2011,
790,FIN,YR2012,
791,FIN,YR2013,
792,FIN,YR2014,
793,FIN,YR2015,
794,FIN,YR2016,
795,FIN,YR2017,
796,FIN,YR2018,
797,FIN,YR2019,
798,FIN,YR2020,100.0
799,FIN,YR2021,
800,FRA,YR2006,
801,FRA,YR2007,
802,FRA,YR2008,
803,FRA,YR2009,
804,FRA,YR2010,
805,FRA,YR2011,
806,FRA,YR2012,
807,FRA,YR2013,
808,FRA,YR2014,
809,FRA,YR2015,
810,FRA,YR2016,
811,FRA,YR2017,
812,FRA,YR2018,
813,FRA,YR2019,100.0
814,FRA,YR2020,
815,FRA,YR2021,
816,GAB,YR2006,
817,GAB,YR2007,
818,GAB,YR2008,
819,GAB,YR2009,
820,GAB,YR2010,
821,GAB,YR2011,
822,GAB,YR2012,71.5
823,GAB,YR2013,
824,GAB,YR2014,
825,GAB,YR2015,
826,GAB,YR2016,
827,GAB,YR2017,
828,GAB,YR2018,
829,GAB,YR2019,
