"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Date
Albania,329017,446,3581,,320970,549,4466,,114600,1247,1941032,676079,2871013,2022-08-30
Botswana,325864,,2778,,322955,,131,1,132778,1132,2026898,825888,2454204,2022-08-30
Luxembourg,284931,,1114,,275850,,7967,,439723,1719,4381286,6761473,647978,2022-08-30
Montenegro,275338,242,2773,1,269815,381,2750,6,438270,4414,2596326,4132711,628238,2022-08-30
Algeria,270272,37,6878,,181907,35,81487,6,5932,151,230861,5067,45561646,2022-08-30
Nigeria,263526,119,3148,,257343,69,3035,11,1213,14,5441162,25054,217177613,2022-08-30
Zimbabwe,256726,18,5596,3,250977,12,153,12,16746,365,2481607,161876,15330312,2022-08-30
Uzbekistan,243743,,1637,,241486,,620,23,7062,47,1377915,39920,34517031,2022-08-30
Mozambique,230076,7,2219,,227709,,148,11,6941,67,1371127,41365,33147322,2022-08-30
Brunei,220245,,225,,219561,,459,,493240,504,717784,1607482,446527,2022-08-30
Martinique,218764,755,1035,,,,,8,583936,2763,828928,2212616,374637,2022-08-30
Laos,213925,101,757,,,,,,28510,101,1233207,164348,7503624,2022-08-30
Kyrgyzstan,205716,179,2991,,196406,,6319,131,30446,443,1907195,282266,6756723,2022-08-30
Iceland,204717,67,179,,,,,2,591623,517,1993053,5759836,346026,2022-08-30
El Salvador,201785,233,4223,1,179266,121,18296,8,30775,644,2610114,398072,6556884,2022-08-30
Afghanistan,193004,98,7777,,171519,,13708,1124,4728,191,1066354,26122,40822369,2022-08-30
Guadeloupe,191997,1943,986,8,,,,19,479666,2463,938039,2343504,400272,2022-08-30
Maldives,184856,,308,,163687,,20861,25,329446,549,2213831,3945442,561111,2022-08-30
Trinidad and Tobago,178964,123,4139,5,168956,455,5869,18,126990,2937,818286,580644,1409274,2022-08-30
Uganda,169396,,3628,,100431,,65337,3,3467,74,3012408,61651,48862106,2022-08-30
Namibia,169253,,4065,,164813,,375,,64103,1540,1062663,402476,2640312,2022-08-30
Ghana,168580,,1459,,167080,,41,2,5191,45,2496486,76876,32474174,2022-08-30
Jamaica,149763,49,3254,2,96514,87,49995,,50103,1089,1168888,391053,2989079,2022-08-30
Cambodia,137596,15,3056,,134394,21,146,,7991,177,3046245,176914,17218792,2022-08-30
Rwanda,132427,6,1466,,130901,,60,,9705,107,5749152,421311,13645864,2022-08-30
Cameroon,121652,,1935,,118616,,1101,13,4349,69,1751774,62623,27973445,2022-08-30
Malta,114026,26,801,,112700,27,525,4,256768,1804,2043292,4601159,444082,2022-08-30
Angola,102636,,1917,,100437,,282,,2926,55,1499795,42759,35075182,2022-08-30
Barbados,100973,148,541,2,98974,307,1458,,350436,1878,754506,2618585,288135,2022-08-30
French Guiana,93586,,408,,11254,,81924,3,296714,1294,650106,2061159,315408,2022-08-30
DRC,92634,,1400,,83504,,7730,,971,15,846704,8871,95444293,2022-08-30
Channel Islands,89657,116,198,,89125,167,334,,505611,1117,1252808,7065079,177324,2022-08-30
Senegal,88068,16,1968,,85950,10,150,,4976,111,1146543,64787,17697207,2022-08-30
Malawi,87856,14,2676,,84919,,261,67,4350,132,610123,30207,20197913,2022-08-30
Ivory Coast,86695,45,819,2,85802,26,74,,3120,29,1608697,57889,27789467,2022-08-30
Suriname,81039,17,1383,,49614,6,30042,,135520,2313,238852,399428,597985,2022-08-30
French Polynesia,76439,24,649,,,,,7,268759,2282,,,284415,2022-08-30
New Caledonia,73798,313,314,,73032,551,452,9,253231,1077,98964,339585,291426,2022-08-30
Eswatini,73361,,1422,,71922,,17,11,61850,1199,1043657,879898,1186111,2022-08-30
Guyana,71005,23,1278,,69492,38,235,,89343,1608,687557,865125,794749,2022-08-30
Belize,68238,,680,,67346,,212,6,165136,1646,576016,1393963,413222,2022-08-30
Fiji,68153,,878,,66158,,1117,,74854,964,648560,712331,910475,2022-08-30
Madagascar,66626,,1410,,65084,,132,2,2279,48,510775,17475,29228990,2022-08-30
Sudan,63228,55,4961,,,,,,1373,108,562941,12222,46061092,2022-08-30
Mauritania,62762,1,992,,61730,3,40,,12773,202,946675,192660,4913703,2022-08-30
Cabo Verde,62310,,410,,61828,2,72,23,109502,721,401622,705800,569031,2022-08-30
Bhutan,61076,,21,,60961,,94,,77315,27,2303734,2916263,789961,2022-08-30
Syria,57026,18,3163,,53383,49,480,,3096,172,146269,7941,18419119,2022-08-30
Burundi,49212,,38,,47677,,1497,,3888,3,345742,27319,12655925,2022-08-30
Gabon,48649,14,306,,48067,142,276,,20797,131,1614329,690122,2339194,2022-08-30
Seychelles,46081,229,169,1,45777,261,135,,462373,1696,,,99662,2022-08-30
Andorra,46027,,154,,45791,,82,14,593652,1986,249838,3222386,77532,2022-08-30
Curaçao,45127,,282,,44720,,125,3,272602,1703,496693,3000405,165542,2022-08-30
Papua New Guinea,44880,4,664,,43982,,234,7,4819,71,249149,26752,9313156,2022-08-30
Aruba,42792,,226,,42340,,226,2,397160,2098,177885,1650981,107745,2022-08-30
Mauritius,40178,,1022,,38454,,702,,31479,801,358675,281022,1276325,2022-08-30
Mayotte,40004,,187,,,,,,139369,651,176919,616365,287036,2022-08-30
Tanzania,38712,,841,,,,,7,611,13,,,63410191,2022-08-30
Togo,38465,14,282,,38032,1,151,,4422,32,784495,90194,8697905,2022-08-30
Isle of Man,38008,,116,,,,,,441928,1349,150753,1752840,86005,2022-08-30
Guinea,37470,,447,,36763,,260,8,2695,32,660107,47482,13902404,2022-08-30
Bahamas,37059,,823,,35849,,387,1,92334,2051,248846,620007,401360,2022-08-30
Faeroe Islands,34658,,28,,,,,5,703516,568,778000,15792465,49264,2022-08-30
Lesotho,34206,,704,,25740,,7762,,15699,323,431221,197905,2178928,2022-08-30
Haiti,33381,,841,,30673,,1867,,2852,72,132422,11315,11702791,2022-08-30
Mali,31365,28,739,,30461,4,165,,1458,34,739184,34363,21511032,2022-08-30
Cayman Islands,30057,,29,,8553,,21475,1,446022,430,222773,3305777,67389,2022-08-30
Saint Lucia,28775,154,391,2,28260,185,124,,155172,2109,209716,1130916,185439,2022-08-30
Benin,27490,,163,,27217,,110,5,2146,13,604310,47178,12809229,2022-08-30
Somalia,27020,,1350,,13182,,12488,,1603,80,400466,23765,16851203,2022-08-30
Congo,24837,,386,,24006,,445,,4274,66,347815,59849,5811519,2022-08-30
Timor-Leste,23163,2,138,,22981,,44,,16874,101,275776,200901,1372694,2022-08-30
Solomon Islands,21544,,153,,16357,,5034,1,29787,212,5117,7075,723275,2022-08-30
Burkina Faso,21128,,387,,20632,,109,,954,17,248995,11246,22141633,2022-08-30
San Marino,20365,24,118,,20146,30,101,4,597477,3462,157634,4624732,34085,2022-08-30
Gibraltar,20049,,107,,16579,,3363,,595474,3178,534283,15868692,33669,2022-08-30
Grenada,19289,,236,,18878,,175,4,169724,2077,177423,1561149,113649,2022-08-30
Liechtenstein,19146,35,86,,18950,17,110,1,499062,2242,102174,2663278,38364,2022-08-30
Nicaragua,18491,,225,,4225,,14041,,2721,33,,,6794804,2022-08-30
South Sudan,17823,,138,,17335,,350,1,1553,12,410280,35747,11477208,2022-08-30
Tajikistan,17786,,125,,17264,,397,,1779,12,,,10000446,2022-08-30
Bermuda,17785,,148,,17516,,121,,287872,2396,983456,15918422,61781,2022-08-30
Equatorial Guinea,16950,4,183,,16602,1,165,5,11281,122,365697,243380,1502576,2022-08-30
Samoa,15767,,29,,1605,,14133,4,78341,144,187397,931114,201261,2022-08-30
Djibouti,15690,,189,,15427,,74,,15397,185,305941,300226,1019037,2022-08-30
Tonga,15235,,12,,14317,,906,,140696,111,535009,4940840,108283,2022-08-30
Marshall Islands,15007,100,17,1,12337,359,2653,22,249896,283,,,60053,2022-08-30
CAR,14862,,113,,14520,,229,2,2966,23,81294,16223,5011173,2022-08-30
Dominica,14852,,68,,14554,,230,,205217,940,210195,2904369,72372,2022-08-30
Monaco,14375,12,57,,14268,12,50,4,360791,1431,77770,1951911,39843,2022-08-30
Gambia,12311,,371,,11788,,152,,4803,145,155686,60735,2563352,2022-08-30
Greenland,11971,,21,,2761,,9189,4,210080,369,164926,2894302,56983,2022-08-30
Saint Martin,11941,84,63,,1399,,10479,7,297855,1571,112382,2803243,40090,2022-08-30
Yemen,11926,,2155,,9119,,652,23,382,69,329592,10549,31245100,2022-08-30
Vanuatu,11793,,14,,11751,,28,,36550,43,24976,77409,322651,2022-08-30
Caribbean Netherlands,11028,,35,,10476,,517,,412262,1308,30126,1126206,26750,2022-08-30
Sint Maarten,10836,,87,,10741,,8,10,246682,1981,62056,1412707,43927,2022-08-30
Eritrea,10154,,103,,10046,,5,,2780,28,23693,6487,3652450,2022-08-30
Niger,9329,,312,,8863,,154,1,357,12,254538,9752,26100023,2022-08-30
Antigua and Barbuda,8974,25,145,,8794,43,35,1,90028,1455,18901,189617,99680,2022-08-30
Guinea-Bissau,8491,,175,,8300,,16,6,4105,85,145231,70211,2068489,2022-08-30
Comoros,8450,5,161,,8270,11,19,,9290,177,,,909619,2022-08-30
Liberia,7835,,294,,7260,,281,2,1474,55,139824,26310,5314497,2022-08-30
Sierra Leone,7747,,126,,,,,,930,15,259958,31217,8327430,2022-08-30
Chad,7538,2,193,,4874,,2471,,432,11,191341,10969,17444200,2022-08-30
Micronesia,7326,,26,,144,,7156,1,62282,221,21923,186377,117627,2022-08-30
British Virgin Islands,7291,160,64,1,,,,1,237755,2087,107243,3497130,30666,2022-08-30
St. Vincent Grenadines,7112,,115,,6641,,356,,63670,1030,100856,902910,111701,2022-08-30
Saint Kitts and Nevis,6509,,46,,6446,,17,,120510,852,124861,2311727,54012,2022-08-30
Turks and Caicos,6359,,36,,6285,,38,4,159581,903,549718,13795372,39848,2022-08-30
Cook Islands,6265,,1,,6176,,88,,355986,57,19690,1118814,17599,2022-08-30
Sao Tome and Principe,6153,,76,,6060,,17,,26993,333,29036,127378,227951,2022-08-30
Palau,5348,,6,,5265,,77,1,292560,328,64027,3502571,18280,2022-08-30
St. Barth,5263,55,6,,,,,,529370,604,78646,7910481,9942,2022-08-30
Nauru,4611,,1,,4605,,5,,420290,91,20509,1869383,10971,2022-08-30
Anguilla,3837,,11,,3789,,37,4,250916,719,51382,3360058,15292,2022-08-30
Kiribati,3430,,13,,2703,,714,3,27794,105,,,123408,2022-08-30
Saint Pierre Miquelon,3131,,1,,2449,,681,1,546136,174,24902,4343625,5733,2022-08-30
Falkland Islands,1886,,,,,,,,509868,,8632,2333604,3699,2022-08-30
Montserrat,1145,19,8,,1106,4,31,,229046,1600,16169,3234447,4999,2022-08-30
Macao,793,,6,,785,,2,,1186,9,7850,11743,668456,2022-08-30
Wallis and Futuna,761,,7,,438,,316,,70372,647,20508,1896431,10814,2022-08-30
Niue,70,2,,,60,,10,,42424,,,,1650,2022-08-30
Tuvalu,20,,,,,,20,,1652,,,,12106,2022-08-30
China,243081,392,5226,,231520,540,6335,31,169,4,160000000,111163,1439323776,2022-08-31
USA,96399311,82856,1071853,484,92049250,154508,3278208,4006,,,1101062482,,,2022-08-31
India,44436339,7081,527911,37,43845680,9828,62748,698,31530,375,885881136,628575,1409347467,2022-08-31
France,34529201,19240,154093,54,34015242,24240,359866,869,526474,2349,271490188,4139467,65585786,2022-08-31
Brazil,34472679,58668,684029,115,33480980,23621,307670,8318,159724,3169,63776166,295497,215826923,2022-08-31
Germany,32184553,39396,147494,90,31266000,61600,771059,1406,381500,1748,122332384,1450068,84363187,2022-08-31
UK,23521792,4067,188242,67,23205229,15257,128321,146,342598,2742,522526476,7610667,68657124,2022-08-31
S. Korea,23246398,103919,26764,75,21209666,124444,2009968,569,452576,521,15804065,307684,51364573,2022-08-31
Italy,21867757,21814,175595,90,21046229,36032,645933,213,362832,2913,242418090,4022225,60269650,2022-08-31
Russia,19528969,46321,384346,92,18596634,39054,547989,2300,133696,2631,273400000,1871709,146069739,2022-08-31
Japan,18772004,139582,39564,311,16875963,197799,1856477,591,149411,315,71372933,568077,125639635,2022-08-31
Turkey,16671848,,100400,,,,,975,193181,1163,162743369,1885746,86301853,2022-08-31
Spain,13342530,,112600,,13113979,,115951,339,285134,2406,471036328,10066185,46793928,2022-08-31
Vietnam,11411679,2727,43117,,10178760,8489,1189802,149,114999,435,85826548,864902,99232674,2022-08-31
Australia,10031149,13232,13903,69,9906176,9552,111070,84,383750,532,78217160,2992264,26139791,2022-08-31
Argentina,9678225,,129711,,9477279,4456,71235,456,209973,2814,35716069,774875,46092697,2022-08-31
Netherlands,8386307,1200,22600,1,8316044,2066,47663,35,487099,1313,21107399,1225974,17216842,2022-08-31
Iran,7528961,1462,143867,47,7296683,4117,88411,1082,87223,1667,53730223,622467,86318194,2022-08-31
Mexico,7021598,6223,329456,55,6274762,6855,417380,4798,53249,2498,18161607,137731,131862479,2022-08-31
Indonesia,6358808,4563,157566,25,6156034,4384,45208,2771,22728,563,106732670,381489,279779070,2022-08-31
Colombia,6302349,459,141627,19,6127599,857,33123,342,121069,2721,36279188,696928,52055854,2022-08-31
Poland,6176882,3837,117093,34,5335960,,723829,2782,163596,3101,36959797,978886,37757010,2022-08-31
Portugal,5420140,3039,24855,10,5323616,3828,71669,61,534929,2453,43527258,4295828,10132449,2022-08-31
Taiwan,5307988,34582,9914,21,4814619,22844,483455,,221999,415,24315529,1016962,23909973,2022-08-31
Ukraine,5056378,,108841,,4922363,777,25174,177,117138,2521,19521252,452237,43166003,2022-08-31
Austria,4908274,5360,19418,11,4824069,6185,64787,62,538334,2130,195496226,21441818,9117521,2022-08-31
Malaysia,4782624,2340,36216,6,4715417,2502,30991,69,143782,1089,63754369,1916680,33262913,2022-08-31
Greece,4762827,,32552,,4654921,,75354,115,461826,3156,91707649,8892407,10313029,2022-08-31
Thailand,4650919,2240,32306,28,4602862,1917,15751,1496,66273,460,17270775,246097,70178659,2022-08-31
Israel,4633426,1317,11620,17,4610924,2361,10882,266,496829,1246,41373364,4436346,9326000,2022-08-31
Chile,4508422,5748,60451,6,4423279,7843,24692,154,231545,3105,43971385,2258293,19471073,2022-08-31
Belgium,4482315,,32516,,4389947,,59852,63,383147,2779,35286170,3016251,11698686,2022-08-31
Canada,4158491,,43797,,4028676,4085,86018,261,108131,1139,64259009,1670896,38457812,2022-08-31
Peru,4103874,1233,215762,17,3839769,8738,48343,213,120826,6352,34319819,1010438,33965288,2022-08-31
Czechia,4040781,2250,40828,10,3985514,458,14439,24,375819,3797,55963648,5204984,10751934,2022-08-31
Switzerland,4025870,,14148,,3937093,,74629,46,457928,1609,22103405,2514181,8791494,2022-08-31
South Africa,4011937,280,102108,4,3904513,201,5316,192,65849,1676,26168861,429519,60926013,2022-08-31
Philippines,3880190,1519,61814,41,3794234,3441,24142,682,34418,548,32226732,285861,112735659,2022-08-31
Romania,3219354,3097,66710,37,3096553,3566,56091,208,169794,3518,24663791,1300806,18960392,2022-08-31
Denmark,3091962,568,6923,3,3075186,1167,9853,6,529781,1186,128199509,21965869,5836305,2022-08-31
Sweden,2569152,864,19873,1,2522768,292,26511,17,251005,1942,18844252,1841078,10235442,2022-08-31
Iraq,2457871,,25346,,2429962,,2563,21,58278,601,19212734,455549,42174906,2022-08-31
Serbia,2283195,3710,16684,12,2186367,5240,80144,27,263609,1926,10677222,1232749,8661310,2022-08-31
Hungary,2048547,12157,47291,100,1962698,16788,38558,23,213227,4922,11394556,1186027,9607332,2022-08-31
Bangladesh,2011946,214,29323,,1956483,282,26140,1331,11959,174,14751724,87684,168237907,2022-08-31
Singapore,1839244,2154,1592,,1760918,1631,76734,9,309125,268,24342902,4091351,5949844,2022-08-31
Slovakia,1834215,342,20353,4,1808789,639,5073,22,335607,3724,7268067,1329843,5465359,2022-08-31
New Zealand,1740840,2348,2742,17,1723232,3271,14866,,348022,548,7483250,1496022,5002100,2022-08-31
Georgia,1735682,,16889,,1637293,,81500,,436912,4251,16920079,4259178,3972616,2022-08-31
Jordan,1735495,,14110,,1718032,,3353,59,166519,1354,17128152,1643430,10422199,2022-08-31
Ireland,1656956,75,7798,,1639021,376,10137,15,327651,1542,12636194,2498714,5057079,2022-08-31
Pakistan,1569076,227,30581,6,1529818,341,8677,115,6817,133,30111440,130823,230170003,2022-08-31
Hong Kong,1540803,9495,9690,9,1320718,4263,210395,15,201979,1270,54352132,7124862,7628517,2022-08-31
Norway,1460127,116,3980,,1454311,172,1836,20,264856,722,11002430,1995755,5512915,2022-08-31
Kazakhstan,1388479,230,13684,,1357309,401,17486,24,72082,710,11575012,600910,19262471,2022-08-31
Finland,1266917,498,5690,,1224052,2398,37175,21,227890,1024,11362325,2043830,5559329,2022-08-31
Morocco,1264435,47,16273,,1247776,68,386,293,33400,430,12454380,328987,37856789,2022-08-31
Bulgaria,1242910,777,37603,3,1192990,1207,12317,52,181834,5501,10435728,1526711,6835429,2022-08-31
Lithuania,1218412,1071,9290,1,1188341,1540,20781,7,461474,3519,10116281,3831549,2640259,2022-08-31
Croatia,1213658,1111,16702,12,1191320,292,5636,13,299627,4123,5139204,1268763,4050562,2022-08-31
Lebanon,1209478,797,10627,5,1087587,,111264,186,178933,1572,4795578,709469,6759390,2022-08-31
Tunisia,1143862,74,29234,,,,,99,94643,2419,4918504,406956,12086080,2022-08-31
Slovenia,1126715,1530,6783,1,1100546,2627,19386,13,541806,3262,2722030,1308948,2079556,2022-08-31
Cuba,1110539,42,8530,,1101746,59,263,23,98176,754,14064773,1243386,11311671,2022-08-31
Guatemala,1101954,1517,19490,18,1074566,2138,7898,5,59142,1046,5655640,303538,18632415,2022-08-31
Bolivia,1101652,832,22198,2,1029045,1210,50409,220,91671,1847,2705422,225125,12017419,2022-08-31
Costa Rica,1049554,,8836,,860711,,180007,52,202042,1701,4659757,897018,5194720,2022-08-31
UAE,1015398,499,2341,,994358,618,18699,,100050,231,184255359,18155282,10148857,2022-08-31
Nepal,997346,224,12001,1,982151,175,3194,,32948,396,5890203,194587,30270354,2022-08-31
Ecuador,995968,,35843,,947783,135,12342,759,54656,1967,3082403,169153,18222528,2022-08-31
Belarus,994037,,7118,,985592,,1327,,105271,754,13646641,1445220,9442604,2022-08-31
Uruguay,979160,,7445,,970116,,1599,18,279779,2127,6114822,1747212,3499760,2022-08-31
Mongolia,978960,,2179,,968355,,8426,192,288568,642,4030048,1187936,3392480,2022-08-31
Panama,978181,,8470,,962280,,7431,16,219240,1898,6940020,1555472,4461681,2022-08-31
Latvia,899133,1176,5946,2,881128,1831,12059,6,488353,3229,7534382,4092209,1841153,2022-08-31
Saudi Arabia,813461,85,9295,2,800618,65,3548,45,22605,258,44117450,1225942,35986582,2022-08-31
Azerbaijan,812816,568,9805,,799479,612,3532,,78633,949,7151214,691819,10336821,2022-08-31
Paraguay,715162,,19478,,693283,,2401,7,97673,2660,2657506,362946,7322033,2022-08-31
Bahrain,671697,213,1515,,668654,240,1528,1,367141,828,10277727,5617669,1829536,2022-08-31
Sri Lanka,669957,64,16698,3,652278,3,981,,31006,773,6486117,300181,21607384,2022-08-31
Kuwait,657395,,2563,,654470,,362,3,149165,582,8340400,1892459,4407177,2022-08-31
Dominican Republic,638500,,4384,,632911,,1205,19,57610,396,3631917,327696,11083179,2022-08-31
Palestine,619519,,5396,,600498,,13625,17,115626,1007,3078533,574574,5357938,2022-08-31
Myanmar,615221,104,19438,1,593615,48,2168,,11146,352,8745456,158436,55198579,2022-08-31
Estonia,597759,,2651,,524990,,70118,4,449963,1996,3504375,2637915,1328464,2022-08-31
Cyprus,576278,,1168,,569810,1032,5300,60,469907,952,9572310,7805427,1226366,2022-08-31
Moldova,575052,,11755,,504142,,59155,49,143272,2929,3216305,801332,4013698,2022-08-31
Venezuela,542508,111,5796,,534949,128,1763,36,19196,205,3359014,118854,28261799,2022-08-31
Egypt,515645,,24613,,442182,,48850,122,4841,231,3693367,34676,106509353,2022-08-31
Libya,506790,15,6437,,500138,34,215,101,71647,910,2479677,350564,7073388,2022-08-31
Ethiopia,493190,10,7572,,471641,21,13977,7,4072,63,5205401,42976,121123549,2022-08-31
Réunion,456141,,861,,418572,,36708,10,501734,947,1603660,1763952,909129,2022-08-31
Honduras,453443,,10972,,,,,105,44258,1071,1499738,146382,10245340,2022-08-31
Armenia,434398,,8655,,421316,,4427,,146005,2909,3184464,1070330,2975217,2022-08-31
Qatar,429396,605,681,,424381,541,4334,3,152929,243,3866366,1377007,2807805,2022-08-31
Oman,397846,,4260,,384669,,8917,2,73845,791,25000000,4640313,5387568,2022-08-31
Bosnia and Herzegovina,395850,220,16050,1,374553,493,5247,,122300,4959,1844027,569721,3236722,2022-08-31
North Macedonia,340341,222,9489,8,329192,268,1660,,163375,4555,2118238,1016825,2083189,2022-08-31
Kenya,338183,13,5674,,332375,5,134,1,6003,101,3855491,68441,56333353,2022-08-31
Zambia,332822,,4016,,328412,,394,1,17070,206,3696213,189572,19497718,2022-08-31
Albania,329352,335,3582,1,321333,363,4437,,114717,1248,1941032,676081,2871005,2022-08-31
Botswana,325864,,2778,,322955,,131,1,132771,1132,2026898,825844,2454334,2022-08-31
Luxembourg,284931,,1114,,275850,,7967,,439704,1719,4381286,6761181,648006,2022-08-31
Montenegro,275538,200,2773,,270143,328,2622,6,438589,4414,2597476,4134541,628238,2022-08-31
Algeria,270304,32,6878,,181938,31,81488,6,5932,151,230861,5067,45563812,2022-08-31
Nigeria,263526,,3148,,257343,,3035,11,1213,14,5441162,25052,217191615,2022-08-31
Zimbabwe,256738,12,5596,,250984,7,158,12,16746,365,2482505,161928,15330903,2022-08-31
Uzbekistan,243743,,1637,,241486,,620,23,7061,47,1377915,39918,34518357,2022-08-31
Mozambique,230076,,2219,,227709,,148,11,6941,67,1371127,41362,33149724,2022-08-31
Brunei,220245,,225,,219561,,459,,493227,504,717784,1607439,446539,2022-08-31
Martinique,218764,,1035,,,,,8,583937,2763,828928,2212622,374636,2022-08-31
Laos,214039,114,757,,,,,,28524,101,1233207,164342,7503913,2022-08-31
Kyrgyzstan,205716,,2991,,196406,,6319,131,30445,443,1907195,282254,6757018,2022-08-31
Iceland,204717,,179,,,,,2,591613,517,1993053,5759736,346032,2022-08-31
El Salvador,201785,,4223,,179266,,18296,8,30774,644,2610114,398067,6556974,2022-08-31
Afghanistan,193004,,7777,,171519,,13708,1124,4728,190,1066354,26120,40824770,2022-08-31
Guadeloupe,191997,,986,,,,,19,479666,2463,938039,2343504,400272,2022-08-31
Maldives,184856,,308,,163687,,20861,25,329431,549,2213831,3945259,561137,2022-08-31
Trinidad and Tobago,179146,182,4144,5,169308,352,5694,18,127118,2940,818834,581027,1409287,2022-08-31
Uganda,169396,,3628,,100431,,65337,3,3467,74,3012408,61646,48866072,2022-08-31
Namibia,169253,,4065,,164813,,375,,64100,1540,1062663,402457,2640438,2022-08-31
Ghana,168580,,1459,,167080,,41,2,5191,45,2496486,76872,32475950,2022-08-31
Jamaica,149798,35,3254,,96611,97,49933,,50115,1089,1169268,391175,2989114,2022-08-31
Cambodia,137620,24,3056,,134420,26,144,,7992,177,3047051,176954,17219425,2022-08-31
Rwanda,132439,12,1466,,130901,,72,,9705,107,5752074,421498,13646744,2022-08-31
Cameroon,121652,,1935,,118616,,1101,13,4349,69,1751774,62619,27975256,2022-08-31
Malta,114050,24,801,,112726,26,523,4,256820,1804,2044015,4602756,444085,2022-08-31
Angola,102636,,1917,,100437,,282,,2926,55,1499795,42756,35077988,2022-08-31
Barbados,101120,147,542,1,99116,142,1462,,350945,1881,755120,2620707,288136,2022-08-31
French Guiana,93586,,408,,11254,,81924,3,296694,1293,650106,2061022,315429,2022-08-31
DRC,92634,,1400,,83504,,7730,,970,15,846704,8870,95451766,2022-08-31
Channel Islands,89657,,198,,89125,,334,,505597,1117,1252808,7064879,177329,2022-08-31
Senegal,88082,14,1968,,85958,8,156,,4977,111,1146543,64782,17698417,2022-08-31
Malawi,87860,4,2676,,84919,,265,67,4350,132,610465,30222,20199269,2022-08-31
Ivory Coast,86738,43,819,,85821,19,98,,3121,29,1608697,57885,27791257,2022-08-31
Suriname,81039,,1383,,49614,,30042,,135517,2313,238852,399419,597999,2022-08-31
French Polynesia,76439,,649,,,,,7,268755,2282,,,284419,2022-08-31
New Caledonia,73798,,314,,73032,,452,9,253224,1077,98964,339576,291434,2022-08-31
Eswatini,73367,6,1422,,71922,,23,11,61853,1199,1043740,879944,1186144,2022-08-31
Guyana,71035,30,1278,,69518,26,239,,89379,1608,688061,865748,794759,2022-08-31
Belize,68302,64,680,,67477,131,145,6,165283,1646,576016,1393895,413242,2022-08-31
Fiji,68153,,878,,66158,,1117,,74853,964,648560,712317,910493,2022-08-31
Madagascar,66626,,1410,,65084,,132,2,2279,48,510775,17474,29230941,2022-08-31
Sudan,63228,,4961,,,,,,1373,108,562941,12221,46063896,2022-08-31
Mauritania,62765,3,993,1,61732,2,40,,12773,202,947769,192870,4914038,2022-08-31
Cabo Verde,62320,10,410,,61838,10,72,23,109516,721,401622,705780,569047,2022-08-31
Bhutan,61076,,21,,60961,,94,,77313,27,2303734,2916178,789984,2022-08-31
Syria,57043,17,3163,,53404,21,476,,3097,172,146269,7941,18420284,2022-08-31
Burundi,49258,46,38,,47736,59,1484,,3892,3,345742,27316,12656897,2022-08-31
Gabon,48649,,306,,48067,,276,,20796,131,1614329,690079,2339338,2022-08-31
Seychelles,46081,,169,,45777,,135,,462364,1696,,,99664,2022-08-31
Andorra,46027,,154,,45791,,82,14,593652,1986,249838,3222386,77532,2022-08-31
Curaçao,45127,,282,,44720,,125,3,272598,1703,496693,3000368,165544,2022-08-31
Papua New Guinea,44880,,664,,43982,,234,7,4819,71,249149,26751,9313620,2022-08-31
Aruba,42792,,226,,42340,,226,2,397156,2098,177885,1650966,107746,2022-08-31
Mauritius,40178,,1022,,38454,,702,,31479,801,358675,281020,1276331,2022-08-31
Mayotte,40004,,187,,,,,,139361,651,176919,616327,287054,2022-08-31
Tanzania,38712,,841,,,,,7,610,13,,,63414859,2022-08-31
Togo,38491,26,282,,38032,,177,,4425,32,785048,90252,8698437,2022-08-31
Isle of Man,38008,,116,,,,,,441923,1349,150753,1752820,86006,2022-08-31
Guinea,37470,,447,,36763,,260,8,2695,32,660107,47478,13903381,2022-08-31
Bahamas,37075,16,823,,35870,21,382,1,92371,2050,248846,619992,401370,2022-08-31
Faeroe Islands,34658,,28,,,,,5,703516,568,778000,15792465,49264,2022-08-31
Lesotho,34206,,704,,25740,,7762,,15698,323,431221,197901,2178975,2022-08-31
Haiti,33381,,841,,30673,,1867,,2852,72,132422,11315,11703170,2022-08-31
Mali,31412,47,739,,30469,8,204,,1460,34,739838,34391,21512632,2022-08-31
Cayman Islands,30057,,29,,8553,,21475,1,446009,430,222773,3305679,67391,2022-08-31
Saint Lucia,28775,,391,,28260,,124,,155170,2108,209716,1130898,185442,2022-08-31
Benin,27490,,163,,27217,,110,5,2146,13,604310,47174,12810099,2022-08-31
Somalia,27020,,1350,,13182,,12488,,1603,80,400466,23763,16852420,2022-08-31
Congo,24837,,386,,24006,,445,,4273,66,347815,59845,5811892,2022-08-31
Timor-Leste,23163,,138,,22981,,44,,16873,101,275776,200891,1372762,2022-08-31
Solomon Islands,21544,,153,,16357,,5034,1,29785,212,5117,7074,723321,2022-08-31
Burkina Faso,21128,,387,,20632,,109,,954,17,248995,11245,22143204,2022-08-31
San Marino,20373,8,118,,20161,15,94,4,597712,3462,157634,4624732,34085,2022-08-31
Gibraltar,20049,,107,,16579,,3363,,595474,3178,534283,15868692,33669,2022-08-31
Grenada,19289,,236,,18878,,175,4,169723,2077,177423,1561135,113650,2022-08-31
Liechtenstein,19161,15,86,,18961,11,114,1,499440,2242,102174,2663209,38365,2022-08-31
